2019-02-20 15:50:48,805 DEBUG    [7934] (deoplete.child) Attribute: is_debug_enabled (False)
2019-02-20 15:50:48,805 DEBUG    [7934] (deoplete.child) Attribute: is_silent (False)
2019-02-20 15:50:48,805 DEBUG    [7934] (deoplete.child) Attribute: is_volatile (False)
2019-02-20 15:50:48,805 DEBUG    [7934] (deoplete.child) Attribute: mark ([D])
2019-02-20 15:50:48,805 DEBUG    [7934] (deoplete.child) Attribute: matchers (['matcher_fuzzy'])
2019-02-20 15:50:48,805 DEBUG    [7934] (deoplete.child) Attribute: max_abbr_width (80)
2019-02-20 15:50:48,805 DEBUG    [7934] (deoplete.child) Attribute: max_candidates (500)
2019-02-20 15:50:48,805 DEBUG    [7934] (deoplete.child) Attribute: max_kind_width (40)
2019-02-20 15:50:48,806 DEBUG    [7934] (deoplete.child) Attribute: max_menu_width (40)
2019-02-20 15:50:48,806 DEBUG    [7934] (deoplete.child) Attribute: max_pattern_length (80)
2019-02-20 15:50:48,806 DEBUG    [7934] (deoplete.child) Attribute: min_pattern_length (-1)
2019-02-20 15:50:48,806 DEBUG    [7934] (deoplete.child) Attribute: sorters (['sorter_rank'])
2019-02-20 15:50:48,806 DEBUG    [7933] (deoplete.child) Loaded Source: zsh (/Users/gcman105/.vim/plugged/deoplete-zsh/rplugin/python3/deoplete/sources/deoplete_zsh.py)
2019-02-20 15:50:48,807 INFO     [7935] (deoplete.logging) --- Deoplete Log Start ---
2019-02-20 15:50:48,807 DEBUG    [7933] (deoplete.child) Set Source attributes: omni
2019-02-20 15:50:48,807 DEBUG    [7933] (deoplete.child) Attribute: converters (['converter_remove_overlap', 'converter_truncate_abbr', 'converter_truncate_kind', 'converter_truncate_menu'])
2019-02-20 15:50:48,807 DEBUG    [7933] (deoplete.child) Attribute: disabled_syntaxes ([])
2019-02-20 15:50:48,807 DEBUG    [7933] (deoplete.child) Attribute: dup (False)
2019-02-20 15:50:48,807 DEBUG    [7933] (deoplete.child) Attribute: filetypes ([])
2019-02-20 15:50:48,807 DEBUG    [7934] (deoplete.child) Set Source attributes: ultisnips
2019-02-20 15:50:48,807 DEBUG    [7933] (deoplete.child) Attribute: input_pattern ()
2019-02-20 15:50:48,807 DEBUG    [7934] (deoplete.child) Attribute: converters (['converter_remove_overlap', 'converter_truncate_abbr', 'converter_truncate_kind', 'converter_truncate_menu'])
2019-02-20 15:50:48,807 DEBUG    [7933] (deoplete.child) Attribute: is_debug_enabled (False)
2019-02-20 15:50:48,807 DEBUG    [7934] (deoplete.child) Attribute: disabled_syntaxes ([])
2019-02-20 15:50:48,807 DEBUG    [7933] (deoplete.child) Attribute: is_silent (False)
2019-02-20 15:50:48,807 DEBUG    [7934] (deoplete.child) Attribute: dup (False)
2019-02-20 15:50:48,807 DEBUG    [7933] (deoplete.child) Attribute: is_volatile (False)
2019-02-20 15:50:48,807 DEBUG    [7934] (deoplete.child) Attribute: filetypes ([])
2019-02-20 15:50:48,807 DEBUG    [7933] (deoplete.child) Attribute: mark ([O])
2019-02-20 15:50:48,807 DEBUG    [7934] (deoplete.child) Attribute: input_pattern ()
2019-02-20 15:50:48,807 DEBUG    [7933] (deoplete.child) Attribute: matchers (['matcher_fuzzy'])
2019-02-20 15:50:48,807 DEBUG    [7934] (deoplete.child) Attribute: is_debug_enabled (False)
2019-02-20 15:50:48,807 DEBUG    [7933] (deoplete.child) Attribute: max_abbr_width (80)
2019-02-20 15:50:48,807 DEBUG    [7934] (deoplete.child) Attribute: is_silent (False)
2019-02-20 15:50:48,808 DEBUG    [7933] (deoplete.child) Attribute: max_candidates (500)
2019-02-20 15:50:48,808 DEBUG    [7934] (deoplete.child) Attribute: is_volatile (True)
2019-02-20 15:50:48,808 DEBUG    [7933] (deoplete.child) Attribute: max_kind_width (40)
2019-02-20 15:50:48,808 DEBUG    [7934] (deoplete.child) Attribute: mark ([US])
2019-02-20 15:50:48,808 DEBUG    [7933] (deoplete.child) Attribute: max_menu_width (40)
2019-02-20 15:50:48,808 DEBUG    [7934] (deoplete.child) Attribute: matchers (['matcher_fuzzy'])
2019-02-20 15:50:48,808 DEBUG    [7933] (deoplete.child) Attribute: max_pattern_length (80)
2019-02-20 15:50:48,808 DEBUG    [7934] (deoplete.child) Attribute: max_abbr_width (80)
2019-02-20 15:50:48,808 DEBUG    [7933] (deoplete.child) Attribute: min_pattern_length (0)
2019-02-20 15:50:48,808 DEBUG    [7934] (deoplete.child) Attribute: max_candidates (500)
2019-02-20 15:50:48,808 DEBUG    [7933] (deoplete.child) Attribute: sorters (['sorter_rank'])
2019-02-20 15:50:48,808 DEBUG    [7934] (deoplete.child) Attribute: max_kind_width (40)
2019-02-20 15:50:48,808 DEBUG    [7933] (deoplete.child) Set Source attributes: buffer
2019-02-20 15:50:48,808 DEBUG    [7934] (deoplete.child) Attribute: max_menu_width (40)
2019-02-20 15:50:48,808 DEBUG    [7934] (deoplete.child) Attribute: max_pattern_length (80)
2019-02-20 15:50:48,808 DEBUG    [7933] (deoplete.child) Attribute: converters (['converter_remove_overlap', 'converter_truncate_abbr', 'converter_truncate_kind', 'converter_truncate_menu'])
2019-02-20 15:50:48,808 DEBUG    [7934] (deoplete.child) Attribute: min_pattern_length (-1)
2019-02-20 15:50:48,808 DEBUG    [7933] (deoplete.child) Attribute: disabled_syntaxes ([])
2019-02-20 15:50:48,808 DEBUG    [7934] (deoplete.child) Attribute: sorters (['sorter_rank'])
2019-02-20 15:50:48,808 DEBUG    [7933] (deoplete.child) Attribute: dup (False)
2019-02-20 15:50:48,808 DEBUG    [7933] (deoplete.child) Attribute: filetypes ([])
2019-02-20 15:50:48,808 DEBUG    [7933] (deoplete.child) Attribute: input_pattern ()
2019-02-20 15:50:48,808 DEBUG    [7933] (deoplete.child) Attribute: is_debug_enabled (False)
2019-02-20 15:50:48,808 DEBUG    [7933] (deoplete.child) Attribute: is_silent (False)
2019-02-20 15:50:48,808 DEBUG    [7933] (deoplete.child) Attribute: is_volatile (False)
2019-02-20 15:50:48,808 DEBUG    [7933] (deoplete.child) Attribute: mark ([B])
2019-02-20 15:50:48,808 DEBUG    [7933] (deoplete.child) Attribute: matchers (['matcher_fuzzy'])
2019-02-20 15:50:48,808 DEBUG    [7933] (deoplete.child) Attribute: max_abbr_width (80)
2019-02-20 15:50:48,809 DEBUG    [7933] (deoplete.child) Attribute: max_candidates (500)
2019-02-20 15:50:48,809 DEBUG    [7933] (deoplete.child) Attribute: max_kind_width (40)
2019-02-20 15:50:48,809 DEBUG    [7933] (deoplete.child) Attribute: max_menu_width (40)
2019-02-20 15:50:48,809 DEBUG    [7933] (deoplete.child) Attribute: max_pattern_length (80)
2019-02-20 15:50:48,809 DEBUG    [7933] (deoplete.child) Attribute: min_pattern_length (-1)
2019-02-20 15:50:48,809 INFO     [7935] (deoplete.logging) NVIM v0.4.0-1317-g894f6be, Python 3.6.1, pynvim 0.3.2
2019-02-20 15:50:48,809 DEBUG    [7933] (deoplete.child) Attribute: sorters (['sorter_rank'])
2019-02-20 15:50:48,809 DEBUG    [7933] (deoplete.child) Set Source attributes: zsh
2019-02-20 15:50:48,809 DEBUG    [7934] (deoplete.child) Loaded Filter: converter_auto_delimiter (/Users/gcman105/.vim/plugged/deoplete.nvim/rplugin/python3/deoplete/filter/converter_auto_delimiter.py)
2019-02-20 15:50:48,810 DEBUG    [7933] (deoplete.child) Attribute: converters (['converter_remove_overlap', 'converter_truncate_abbr', 'converter_truncate_kind', 'converter_truncate_menu'])
2019-02-20 15:50:48,810 DEBUG    [7933] (deoplete.child) Attribute: disabled_syntaxes ([])
2019-02-20 15:50:48,810 DEBUG    [7933] (deoplete.child) Attribute: dup (True)
2019-02-20 15:50:48,810 DEBUG    [7933] (deoplete.child) Attribute: filetypes (['zsh'])
2019-02-20 15:50:48,810 DEBUG    [7933] (deoplete.child) Attribute: input_pattern ([^. 	0-9]\.\w*)
2019-02-20 15:50:48,810 DEBUG    [7934] (deoplete.child) Loaded Filter: converter_remove_paren (/Users/gcman105/.vim/plugged/deoplete.nvim/rplugin/python3/deoplete/filter/converter_remove_paren.py)
2019-02-20 15:50:48,810 DEBUG    [7933] (deoplete.child) Attribute: is_debug_enabled (False)
2019-02-20 15:50:48,810 DEBUG    [7933] (deoplete.child) Attribute: is_silent (False)
2019-02-20 15:50:48,810 DEBUG    [7933] (deoplete.child) Attribute: is_volatile (False)
2019-02-20 15:50:48,810 DEBUG    [7933] (deoplete.child) Attribute: mark ([zsh])
2019-02-20 15:50:48,810 DEBUG    [7933] (deoplete.child) Attribute: matchers (['matcher_fuzzy'])
2019-02-20 15:50:48,811 DEBUG    [7934] (deoplete.child) Loaded Filter: matcher_head (/Users/gcman105/.vim/plugged/deoplete.nvim/rplugin/python3/deoplete/filter/matcher_head.py)
2019-02-20 15:50:48,811 DEBUG    [7933] (deoplete.child) Attribute: max_abbr_width (80)
2019-02-20 15:50:48,811 DEBUG    [7933] (deoplete.child) Attribute: max_candidates (500)
2019-02-20 15:50:48,811 DEBUG    [7933] (deoplete.child) Attribute: max_kind_width (40)
2019-02-20 15:50:48,811 DEBUG    [7933] (deoplete.child) Attribute: max_menu_width (40)
2019-02-20 15:50:48,811 DEBUG    [7933] (deoplete.child) Attribute: max_pattern_length (80)
2019-02-20 15:50:48,811 DEBUG    [7933] (deoplete.child) Attribute: min_pattern_length (-1)
2019-02-20 15:50:48,811 DEBUG    [7933] (deoplete.child) Attribute: sorters (['sorter_rank'])
