,customer_id,product_id,ppu,order_count,special_price,update_option
120,29,284,2.35,0,TRUE,MANUAL
121,29,290,3.45,0,TRUE,MANUAL
122,29,310,4.9,0,TRUE,MANUAL
123,29,312,4.8,0,TRUE,MANUAL
124,29,314,5.4,0,TRUE,MANUAL
125,29,321,5.0,0,TRUE,MANUAL
126,29,343,5.5,0,TRUE,MANUAL
127,29,348,4.4,0,TRUE,MANUAL
128,29,351,32.8,0,TRUE,MANUAL
129,29,356,9.95,0,TRUE,MANUAL
130,29,361,5.45,0,TRUE,MANUAL
131,29,362,7.5,0,TRUE,MANUAL
132,29,371,1.55,0,TRUE,MANUAL
133,29,373,8.1,0,TRUE,MANUAL
134,29,382,13.99,0,TRUE,MANUAL
135,29,385,9.95,0,TRUE,MANUAL
136,29,387,7.5,0,TRUE,MANUAL
137,29,389,7.4,0,TRUE,MANUAL
138,29,390,8.8,0,TRUE,MANUAL
139,29,393,5.6,0,TRUE,MANUAL
140,29,402,4.2,0,TRUE,MANUAL
141,29,403,5.9,0,TRUE,MANUAL
142,29,404,6.2,0,TRUE,MANUAL
143,29,450,6.95,0,TRUE,MANUAL
144,29,454,5.65,0,TRUE,MANUAL
145,29,473,3.65,0,TRUE,MANUAL
146,29,475,1.5,0,TRUE,MANUAL
147,29,477,6.5,0,TRUE,MANUAL
148,29,483,60.0,0,TRUE,MANUAL
149,29,486,2.85,0,TRUE,MANUAL
150,29,487,2.3,0,TRUE,MANUAL
151,29,488,2.3,0,TRUE,MANUAL
152,29,497,4.1,0,TRUE,MANUAL
153,29,499,3.65,0,TRUE,MANUAL
154,29,516,1.9,0,TRUE,MANUAL
155,29,521,2.65,0,TRUE,MANUAL
156,29,522,3.2,0,TRUE,MANUAL
157,29,528,3.5,0,TRUE,MANUAL
158,29,529,3.9,0,TRUE,MANUAL
159,29,532,3.45,0,TRUE,MANUAL
160,29,541,4.9,0,TRUE,MANUAL
161,29,544,2.38,0,TRUE,MANUAL
162,29,545,2.1,0,TRUE,MANUAL
163,29,546,3.1,0,TRUE,MANUAL
164,29,549,2.65,0,TRUE,MANUAL
165,29,553,5.45,0,TRUE,MANUAL
166,29,556,2.05,0,TRUE,MANUAL
167,29,565,3.0,0,TRUE,MANUAL
168,29,573,12.9,0,TRUE,MANUAL
169,29,580,11.5,0,TRUE,MANUAL
170,29,592,6.9,0,TRUE,MANUAL
171,29,593,7.6,0,TRUE,MANUAL
172,29,594,8.9,0,TRUE,MANUAL
173,29,615,12.5,0,TRUE,MANUAL
174,29,623,4.8,0,TRUE,MANUAL
175,29,634,14.5,0,TRUE,MANUAL
176,29,637,15.6,0,TRUE,MANUAL
177,29,657,7.3,0,TRUE,MANUAL
178,29,658,7.3,0,TRUE,MANUAL
179,29,664,2.99,0,TRUE,MANUAL
180,29,673,4.25,0,TRUE,MANUAL
181,29,683,1.3,0,TRUE,MANUAL
182,29,687,1.05,0,TRUE,MANUAL
183,29,701,13.25,0,TRUE,MANUAL
184,29,712,7.65,0,TRUE,MANUAL
185,29,717,29.5,0,TRUE,MANUAL
186,30,23,3.78,0,TRUE,MANUAL
187,30,25,3.98,0,TRUE,MANUAL
188,30,64,3.25,0,TRUE,MANUAL
189,30,73,5.9,0,TRUE,MANUAL
190,30,111,4.95,0,TRUE,MANUAL
191,30,138,2.45,0,TRUE,MANUAL
192,30,159,1.45,0,TRUE,MANUAL
193,30,197,3.45,0,TRUE,MANUAL
194,30,241,6.2,0,TRUE,MANUAL
195,30,280,3.68,0,TRUE,MANUAL
196,30,284,1.98,0,TRUE,MANUAL
197,30,297,4.65,0,TRUE,MANUAL
198,30,312,4.8,0,TRUE,MANUAL
199,30,314,5.2,0,TRUE,MANUAL
200,30,363,9.4,0,TRUE,MANUAL
201,30,364,9.6,0,TRUE,MANUAL
202,30,371,1.86,0,TRUE,MANUAL
203,30,390,7.8,0,TRUE,MANUAL
204,30,392,7.8,0,TRUE,MANUAL
205,30,418,4.5,0,TRUE,MANUAL
206,30,522,3.6,0,TRUE,MANUAL
207,30,529,3.85,0,TRUE,MANUAL
208,30,532,3.85,0,TRUE,MANUAL
209,30,534,4.1,0,TRUE,MANUAL
210,30,547,3.6,0,TRUE,MANUAL
211,30,566,6.5,0,TRUE,MANUAL
212,30,637,16.8,0,TRUE,MANUAL
213,30,664,4.95,0,TRUE,MANUAL
214,31,23,3.78,0,TRUE,MANUAL
215,31,25,3.98,0,TRUE,MANUAL
216,31,64,2.99,0,TRUE,MANUAL
217,31,68,6.45,0,TRUE,MANUAL
218,31,73,6.2,0,TRUE,MANUAL
219,31,98,5.5,0,TRUE,MANUAL
220,31,111,4.99,0,TRUE,MANUAL
221,31,113,4.75,0,TRUE,MANUAL
222,31,159,1.38,0,TRUE,MANUAL
223,31,241,6.2,0,TRUE,MANUAL
224,31,249,5.25,0,TRUE,MANUAL
225,31,254,11.2,0,TRUE,MANUAL
226,31,284,2.0,0,TRUE,MANUAL
227,31,297,4.7,0,TRUE,MANUAL
228,31,355,9.9,0,TRUE,MANUAL
229,31,376,8.2,0,TRUE,MANUAL
230,31,386,9.95,0,TRUE,MANUAL
231,31,397,9.95,0,TRUE,MANUAL
232,31,418,4.5,0,TRUE,MANUAL
233,31,497,4.5,0,TRUE,MANUAL
234,31,507,4.45,0,TRUE,MANUAL
235,31,512,3.85,0,TRUE,MANUAL
236,31,522,3.65,0,TRUE,MANUAL
237,31,534,3.4,0,TRUE,MANUAL
238,31,539,3.4,0,TRUE,MANUAL
239,31,553,5.65,0,TRUE,MANUAL
240,31,568,21.5,0,TRUE,MANUAL
241,31,571,21.5,0,TRUE,MANUAL
242,31,591,13.65,0,TRUE,MANUAL
243,31,664,4.95,0,TRUE,MANUAL
244,31,670,6.9,0,TRUE,MANUAL
245,32,23,3.78,0,TRUE,MANUAL
246,32,25,3.98,0,TRUE,MANUAL
247,32,64,2.99,0,TRUE,MANUAL
248,32,68,6.45,0,TRUE,MANUAL
249,32,73,6.2,0,TRUE,MANUAL
250,32,98,5.5,0,TRUE,MANUAL
251,32,111,4.99,0,TRUE,MANUAL
252,32,113,4.75,0,TRUE,MANUAL
253,32,138,2.2,0,TRUE,MANUAL
254,32,148,1.45,0,TRUE,MANUAL
255,32,159,1.38,0,TRUE,MANUAL
256,32,168,2.68,0,TRUE,MANUAL
257,32,241,6.2,0,TRUE,MANUAL
258,32,249,5.25,0,TRUE,MANUAL
259,32,254,11.2,0,TRUE,MANUAL
260,32,284,2.0,0,TRUE,MANUAL
261,32,297,4.4,0,TRUE,MANUAL
262,32,355,9.9,0,TRUE,MANUAL
263,32,376,8.2,0,TRUE,MANUAL
264,32,386,9.95,0,TRUE,MANUAL
265,32,389,5.8,0,TRUE,MANUAL
266,32,397,9.9,0,TRUE,MANUAL
267,32,418,4.5,0,TRUE,MANUAL
268,32,497,4.5,0,TRUE,MANUAL
269,32,507,4.45,0,TRUE,MANUAL
270,32,512,3.85,0,TRUE,MANUAL
271,32,522,3.65,0,TRUE,MANUAL
272,32,534,3.95,0,TRUE,MANUAL
273,32,539,3.4,0,TRUE,MANUAL
274,32,541,4.9,0,TRUE,MANUAL
275,32,553,5.65,0,TRUE,MANUAL
276,32,568,21.5,0,TRUE,MANUAL
277,32,571,21.5,0,TRUE,MANUAL
278,32,591,13.65,0,TRUE,MANUAL
279,32,638,5.9,0,TRUE,MANUAL
280,32,664,4.95,0,TRUE,MANUAL
281,32,670,6.9,0,TRUE,MANUAL
282,33,23,3.78,0,TRUE,MANUAL
283,33,25,3.98,0,TRUE,MANUAL
284,33,64,2.99,0,TRUE,MANUAL
285,33,68,6.45,0,TRUE,MANUAL
286,33,73,6.2,0,TRUE,MANUAL
287,33,98,5.5,0,TRUE,MANUAL
288,33,111,4.99,0,TRUE,MANUAL
289,33,113,4.75,0,TRUE,MANUAL
290,33,159,1.38,0,TRUE,MANUAL
291,33,241,6.2,0,TRUE,MANUAL
292,33,249,5.25,0,TRUE,MANUAL
293,33,254,11.2,0,TRUE,MANUAL
294,33,284,2.0,0,TRUE,MANUAL
295,33,297,4.7,0,TRUE,MANUAL
296,33,355,9.9,0,TRUE,MANUAL
297,33,376,8.2,0,TRUE,MANUAL
298,33,386,9.95,0,TRUE,MANUAL
299,33,397,9.95,0,TRUE,MANUAL
300,33,418,4.5,0,TRUE,MANUAL
301,33,497,4.5,0,TRUE,MANUAL
302,33,507,4.45,0,TRUE,MANUAL
303,33,512,3.85,0,TRUE,MANUAL
304,33,522,3.65,0,TRUE,MANUAL
305,33,529,3.95,0,TRUE,MANUAL
306,33,534,3.95,0,TRUE,MANUAL
307,33,539,3.4,0,TRUE,MANUAL
308,33,553,5.65,0,TRUE,MANUAL
309,33,568,21.5,0,TRUE,MANUAL
310,33,571,21.5,0,TRUE,MANUAL
311,33,591,13.65,0,TRUE,MANUAL
312,33,664,4.95,0,TRUE,MANUAL
313,33,670,6.9,0,TRUE,MANUAL
314,35,25,3.45,0,TRUE,MANUAL
315,35,321,7.5,0,TRUE,MANUAL
316,36,23,4.25,0,TRUE,MANUAL
317,36,37,1.65,0,TRUE,MANUAL
318,36,60,4.2,0,TRUE,MANUAL
